Packet [ 499 ]: 500587.74271, 3,   1.302,  4.262,  7.767
Packet [ 362 ]: 500588.52269, 3,   0.096,  4.990,  7.987, 4,  -0.010, -0.010, -0.073
Packet [ 361 ]: 500588.52770, 3,   0.067,  4.999,  8.006, 4,  -0.020, -0.004, -0.071, 5, -340.875, 39.500,-64.813
Packet [ 360 ]: 500588.53271, 3,   0.124,  5.009,  8.073, 4,  -0.028, -0.002, -0.072
Packet [ 359 ]: 500588.53768, 3,   0.086,  4.999,  8.092, 4,  -0.035, -0.004, -0.072, 5, -341.125, 39.375,-64.875
Packet [ 358 ]: 500588.54269, 3,   0.124,  4.970,  8.140, 4,  -0.040, -0.002, -0.068
Packet [ 357 ]: 500588.54769, 3,   0.134,  4.961,  8.140, 4,  -0.044, -0.005, -0.068, 5, -341.688, 39.313,-64.875
Packet [ 356 ]: 500588.55270, 3,   0.115,  4.970,  8.121, 4,  -0.043, -0.006, -0.067
Packet [ 355 ]: 500588.55770, 3,   0.096,  4.922,  8.092, 4,  -0.043, -0.010, -0.066, 5, -341.875, 39.375,-65.000
Packet [ 354 ]: 500588.56271, 3,   0.019,  4.932,  8.102, 4,  -0.044, -0.006, -0.065
Packet [ 353 ]: 500588.56768, 3,   0.010,  4.961,  8.150, 4,  -0.044,  0.002, -0.067, 5, -342.375, 39.438,-65.313
Packet [ 352 ]: 500588.57269, 3,  -0.019,  4.980,  8.198, 4,  -0.043,  0.006, -0.067
Packet [ 351 ]: 500588.57769, 3,   0.000,  4.999,  8.226, 4,  -0.035,  0.015, -0.062, 5, -342.125, 39.438,-65.438
Packet [ 350 ]: 500588.58270, 3,  -0.057,  5.028,  8.274, 4,  -0.032,  0.017, -0.060
Packet [ 349 ]: 500588.58770, 3,  -0.038,  5.018,  8.294, 4,  -0.021,  0.021, -0.048, 5, -341.875, 39.500,-65.125
Packet [ 348 ]: 500588.59271, 3,  -0.077,  5.037,  8.341, 4,  -0.017,  0.022, -0.043
Packet [ 347 ]: 500588.59768, 3,  -0.144,  5.047,  8.380, 4,  -0.004,  0.027, -0.024, 5, -341.438, 39.375,-64.875
Packet [ 346 ]: 500588.60269, 3,  -0.124,  5.018,  8.380, 4,   0.000,  0.028, -0.021
Packet [ 345 ]: 500588.60769, 3,  -0.067,  5.018,  8.341, 4,   0.013,  0.017, -0.005, 5, -341.313, 39.500,-65.000
Packet [ 344 ]: 500588.61270, 3,  -0.019,  4.980,  8.255, 4,   0.020,  0.009,  0.005
Packet [ 343 ]: 500588.61771, 3,   0.077,  4.932,  8.207, 4,   0.020,  0.000,  0.010, 5, -341.250, 39.375,-65.000
Packet [ 342 ]: 500588.62268, 3,   0.067,  4.922,  8.169, 4,   0.018, -0.006,  0.012
Packet [ 341 ]: 500588.62769, 3,   0.086,  4.922,  8.140, 4,   0.016, -0.013,  0.009, 5, -341.688, 39.688,-65.188
Packet [ 340 ]: 500588.63269, 3,   0.077,  4.961,  8.073, 4,   0.009, -0.022,  0.004
Packet [ 339 ]: 500588.63770, 3,   0.057,  4.961,  8.083, 4,   0.004, -0.031,  0.000, 5, -341.750, 39.563,-65.063
Packet [ 338 ]: 500588.64270, 3,   0.019,  4.980,  8.025, 4,  -0.005, -0.035, -0.004
Packet [ 337 ]: 500588.64771, 3,  -0.019,  5.009,  8.016, 4,  -0.009, -0.038, -0.005, 5, -342.000, 39.438,-65.063
Packet [ 336 ]: 500588.65268, 3,   0.000,  4.999,  8.025, 4,  -0.016, -0.039, -0.002
Packet [ 335 ]: 500588.65769, 3,   0.000,  4.990,  7.997, 4,  -0.022, -0.034,  0.004, 5, -342.000, 39.625,-65.125
Packet [ 334 ]: 500588.66269, 3,   0.029,  4.999,  7.987, 4,  -0.024, -0.032,  0.005
Packet [ 333 ]: 500588.66770, 3,   0.038,  4.980,  8.006, 4,  -0.032, -0.023,  0.012, 5, -341.625, 39.500,-64.688
Packet [ 332 ]: 500588.67271, 3,   0.077,  4.961,  7.997, 4,  -0.034, -0.020,  0.012
Packet [ 331 ]: 500588.67771, 3,   0.096,  4.932,  8.045, 4,  -0.037, -0.004,  0.020, 5, -341.750, 39.375,-64.875
Packet [ 330 ]: 500588.68269, 3,   0.096,  4.913,  8.092, 4,  -0.037, -0.001,  0.020
Packet [ 329 ]: 500588.68769, 3,   0.124,  4.913,  8.112, 4,  -0.034,  0.012,  0.022, 5, -342.125, 39.625,-65.125
Packet [ 328 ]: 500588.69270, 3,   0.124,  4.913,  8.121, 4,  -0.034,  0.017,  0.021
Packet [ 327 ]: 500588.69770, 3,   0.115,  4.913,  8.121, 4,  -0.033,  0.023,  0.021, 5, -341.750, 39.500,-65.438
Packet [ 326 ]: 500588.70271, 3,   0.182,  4.903,  8.169, 4,  -0.032,  0.026,  0.021
Packet [ 325 ]: 500588.70768, 3,   0.163,  4.884,  8.207, 4,  -0.031,  0.026,  0.018, 5, -341.750, 39.563,-65.250
Packet [ 324 ]: 500588.71269, 3,   0.192,  4.865,  8.236, 4,  -0.031,  0.027,  0.016
Packet [ 323 ]: 500588.71769, 3,   0.182,  4.875,  8.265, 4,  -0.028,  0.028,  0.013, 5, -341.688, 39.813,-65.563
Packet [ 322 ]: 500588.72270, 3,   0.172,  4.875,  8.274, 4,  -0.028,  0.026,  0.007
Packet [ 321 ]: 500588.72770, 3,   0.115,  4.875,  8.313, 4,  -0.028,  0.023,  0.004, 5, -341.250, 39.875,-65.375
Packet [ 320 ]: 500588.73271, 3,   0.105,  4.913,  8.322, 4,  -0.024,  0.017, -0.001
Packet [ 319 ]: 500588.73768, 3,   0.163,  4.922,  8.294, 4,  -0.021,  0.005, -0.005, 5, -340.750, 40.250,-65.438
Packet [ 318 ]: 500588.74269, 3,   0.172,  4.932,  8.255, 4,  -0.018, -0.001, -0.006
Packet [ 317 ]: 500588.74769, 3,   0.182,  4.913,  8.217, 4,  -0.017, -0.013, -0.009, 5, -340.938, 40.500,-65.375
Packet [ 316 ]: 500588.75270, 3,   0.144,  4.922,  8.179, 4,  -0.017, -0.016, -0.009
Packet [ 315 ]: 500588.75771, 3,   0.115,  4.913,  8.112, 4,  -0.018, -0.021, -0.010, 5, -340.563, 40.125,-65.500
Packet [ 314 ]: 500588.76268, 3,   0.105,  4.894,  8.083, 4,  -0.021, -0.021, -0.011
Packet [ 313 ]: 500588.76768, 3,   0.057,  4.884,  8.121, 4,  -0.027, -0.020, -0.010, 5, -340.875, 40.063,-65.438
Packet [ 312 ]: 500588.77269, 3,   0.057,  4.894,  8.150, 4,  -0.027, -0.017, -0.011
Packet [ 311 ]: 500588.77770, 3,   0.067,  4.932,  8.169, 4,  -0.032, -0.018, -0.010, 5, -341.563, 39.750,-65.375
Packet [ 310 ]: 500588.78270, 3,   0.067,  4.894,  8.150, 4,  -0.034, -0.013, -0.009
Packet [ 309 ]: 500588.78771, 3,   0.048,  4.913,  8.179, 4,  -0.032, -0.012, -0.009, 5, -341.875, 39.313,-65.625
Packet [ 308 ]: 500588.79268, 3,   0.010,  4.903,  8.159, 4,  -0.032, -0.013, -0.009
Packet [ 307 ]: 500588.79769, 3,   0.000,  4.903,  8.112, 4,  -0.032, -0.012, -0.007, 5, -341.875, 39.563,-65.188
Packet [ 306 ]: 500588.80269, 3,   0.038,  4.903,  8.150, 4,  -0.032, -0.013, -0.002
Packet [ 305 ]: 500588.80770, 3,   0.077,  4.913,  8.102, 4,  -0.033, -0.015,  0.001, 5, -342.063, 39.563,-65.250
Packet [ 304 ]: 500588.81270, 3,   0.153,  4.903,  8.102, 4,  -0.038, -0.016,  0.004
